C.D.S.  -  SIMBAD4 rel 1.7  -  2020.09.28CEST13:59:15

Vmag <= 6
---------

Number of objects : 5225

 #  |            identifier             |typ|        coord2 (FK5,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|-----|----
166 |HD 1239                            |*  |00 16 57.0430453461 +61 31 59.455584709|     ~| 6.634| 5.737|     ~|     ~|G8III                |  31 |   0
167 |V* V567 Cas                        |a2*|00 05 06.1509945857 +61 18 50.292527535|     ~| 5.710| 5.791|     ~|     ~|B6III                |  53 |   0
168 |HD 224893                          |*  |00 01 37.0153276490 +61 13 22.077402281| 6.36 | 5.966| 5.567|     ~|     ~|A8II                 |  36 |   0
169 |HD 3283                            |*  |00 36 27.3441364155 +60 19 34.365085152| 6.24 | 6.053| 5.792|     ~|     ~|A3III                |  48 |   0
170 |HD 2626                            |** |00 30 19.9212018927 +59 58 39.187251514| 5.59 | 5.95 | 5.94 |     ~|     ~|B7IV                 |  53 |   0
171 |HD 5015                            |PM*|00 53 04.1958850619 +61 07 26.301822158| 5.43 | 5.34 | 4.80 | 4.32 | 4.02 |F9V                  | 205 |   0
172 |HD 5408                            |** |00 56 46.97166 +60 21 46.2192          |     ~| 5.500| 5.566|     ~|     ~|B7Vn+B9VHgMn+A1V     | 121 |   1
173 |* ups01 Cas                        |PM*|00 55 00.1554743119 +58 58 21.700075603|     ~| 6.042| 4.820|     ~|     ~|G8III                |  95 |   0
174 |* ups02 Cas                        |Pe*|00 56 39.9041301647 +59 10 51.800571997|     ~| 5.581| 4.622|     ~|     ~|G8.5IIIbFe-0.5       | 208 |   0
175 |* gam Cas                          |Be*|00 56 42.5317 +60 43 00.265            | 1.18 | 2.29 | 2.39 | 2.32 | 2.40 |B0.5IVpe             |1139 |   1
176 |HD 6676                            |*  |01 08 33.4659858425 +58 15 48.422303987|     ~| 5.744| 5.767|     ~|     ~|B8V                  |  39 |   0
177 |* chi Cas                          |*  |01 33 55.8803462403 +59 13 55.387594638|     ~| 5.675| 4.681|     ~|     ~|G9IIIb               | 111 |   0
178 |HD 9353                            |** |01 33 25.7073470464 +58 19 38.451215082|     ~| 7.153| 5.709|     ~|     ~|K3Ib-II+B7/8:        |  56 |   0
179 |* phi Cas                          |s*y|01 20 04.9146181556 +58 13 53.812633124| 6.15 | 5.66 | 4.98 | 4.34 | 3.78 |F0Ia                 | 254 |   0
180 |HD 9900                            |*  |01 38 07.5668692834 +57 58 39.470683838|     ~| 6.921| 5.536|     ~|     ~|K0II_CN+2            |  60 |   0
181 |* i Per                            |sg*|02 22 21.4348174923 +55 50 44.351770395| 5.43 | 5.54 | 5.17 | 4.79 | 4.47 |A1Ia                 | 184 |   0
182 |HD 16735                           |PM*|02 42 59.5231505201 +53 31 33.982604371|     ~| 6.987| 5.835|     ~|     ~|G8III                |  28 |   0
183 |* tau Per                          |Al*|02 54 15.4684102508 +52 45 44.885218477| 5.17 | 4.71 | 3.96 | 3.33 | 2.89 |G8III+A7V            | 156 |   0
184 |HD 18537                           |*  |03 00 52.2119366311 +52 21 06.247468779| 4.78 | 5.158| 5.219|     ~|     ~|B7V                  |  70 |   0
185 |ADS 2270 AB                        |** |03 00 52.4 +52 21 07                   |     ~| 4.96 | 5.00 |     ~|     ~|~                    |   1 |   0
186 |* 29 Per                           |*  |03 18 37.7407730489 +50 13 19.834131101| 6.232| 5.074| 5.157|     ~|     ~|B3V                  | 142 |   0
187 |* 31 Per                           |*  |03 19 07.6379602460 +50 05 41.872376190| 4.44 | 4.962| 5.032|     ~|     ~|B5V                  | 119 |   0
188 |* sig Per                          |V* |03 30 34.4872784580 +47 59 42.780422381| 7.25 | 5.71 | 4.36 |     ~|     ~|K3-III               | 115 |   0
189 |HD 21551                           |*  |03 30 36.9481554065 +48 06 12.977506037| 5.46 | 5.78 | 5.82 |     ~|     ~|B8V                  | 116 |   0
190 |HD 21699                           |Ro*|03 32 08.6080866453 +48 01 24.518967908| 4.81 | 5.355| 5.461|     ~|     ~|B9III                | 195 |   0
191 |HD 19845                           |*  |03 13 23.8720217272 +48 10 37.037754534|     ~| 6.915| 5.913|     ~|     ~|K0III                |  69 |   0
192 |HD 20809                           |*  |03 23 13.1963705140 +49 12 47.762585541|     ~| 5.23 | 5.30 |     ~|     ~|B5V                  | 128 |   0
193 |Cl Melotte 20 772                  |*  |03 27 58.9119523655 +49 01 10.301063952|     ~|     ~| 4.989|     ~|     ~|~                    |   2 |   0
194 |* 36 Per                           |PM*|03 32 26.2588591770 +46 03 24.702913653| 5.71 | 5.73 | 5.32 | 4.91 | 4.69 |F4III                | 102 |   0
195 |HD 23300                           |*  |03 45 59.2599041847 +45 40 54.842937187|     ~| 5.565| 5.655|     ~|     ~|B6V                  |  46 |   1
196 |HD 23838                           |SB*|03 50 04.4256843048 +44 58 04.346569489|     ~| 6.417| 5.657|     ~|     ~|G7III+F0IV:          |  62 |   0
197 |V* V376 Per                        |dS*|03 49 08.1062347277 +43 57 47.354185776| 6.290| 6.230| 5.970|     ~|     ~|A9IV                 |  79 |   0
198 |HD 189684                          |** |19 59 20.4189471978 +45 46 21.076591285|     ~| 6.094| 5.933|     ~|     ~|A5III                |  28 |   0
199 |* 30 Cyg                           |V* |20 13 18.0527162012 +46 48 56.409650765|     ~| 4.911| 4.819|     ~|     ~|A5IIIn               |  62 |   0
200 |* omi02 Cyg                        |Al*|20 15 28.3216287393 +47 42 51.221859715| 6.54 | 5.50 | 3.98 | 2.78 | 1.86 |K7Ib-II+B1V          | 320 |   0
201 |* 43 Cyg                           |gD*|20 27 02.2677205309 +49 23 00.097973075|     ~| 6.024| 5.715|     ~|     ~|F0V:                 |  50 |   0
202 |* ome01 Cyg                        |Pu*|20 30 03.5396830449 +48 57 05.637785409| 4.23 | 4.835| 4.936|     ~|     ~|B2.5IV               | 103 |   1
203 |* ome02 Cyg                        |*  |20 31 18.8160122265 +49 13 13.063336376| 8.91 | 6.99 | 5.44 |     ~|     ~|M2III                |  30 |   0
204 |V* U Cyg                           |C* |20 19 36.5944622319 +47 53 39.085332215|     ~|11.85 | 5.90 |     ~|     ~|C9,2e                | 223 |   0
205 |HD 202987                          |*  |21 17 14.2469273298 +55 47 52.804265354|     ~| 7.430| 5.975|     ~|     ~|K3III                |  28 |   0
206 |HD 206267                          |SB*|21 38 57.6182747705 +57 29 20.557311013| 5.09 | 5.83 | 5.62 |     ~| 5.56 |O6.0V((f))+O9:V      | 453 |   0
207 |* mu. Cep                          |s*r|21 43 30.4610574 +58 46 48.160181      | 8.85 | 6.43 | 4.08 | 1.98 | 0.22 |M2-Ia                | 622 |   1
208 |HD 210939                          |*  |22 12 02.0157842111 +60 45 32.746487136|     ~| 6.544| 5.359|     ~|     ~|K1III                |  31 |   1
209 |* lam Cep                          |s*b|22 11 30.5750839949 +59 24 52.147736074| 4.55 | 5.29 | 5.05 | 4.77 | 4.62 |O6.5I(n)fp           | 646 |   1
210 |HD 216380A                         |PM*|22 51 22.6289748025 +61 41 48.265101895|     ~| 6.801| 5.931|     ~|     ~|G8III-IV             |   4 |   0
211 |* 4 Cas                            |V* |23 24 50.2623747 +62 16 58.109355      |     ~| 6.592| 4.955|     ~|     ~|M1III                |  53 |   0
212 |* 10 Cas                           |Be*|00 06 26.5378574380 +64 11 46.169112510| 5.37 | 5.56 | 5.59 |     ~|     ~|B9IIIe               | 103 |   0
213 |* 9 Cas                            |*  |00 04 13.6620544001 +62 17 15.590488748| 5.89 | 6.154| 5.884|     ~|     ~|A1II-III             |  37 |   0
214 |* 12 Cas                           |*  |00 24 47.5045502527 +61 49 51.802197697|     ~| 5.375| 5.377|     ~|     ~|B9III                |  53 |   0
215 |* kap Cas                          |s*b|00 32 59.9911963 +62 55 54.417374      | 3.50 | 4.30 | 4.16 | 4.02 | 3.96 |B1Ia                 | 446 |   0
216 |HD 6210                            |PM*|01 04 19.4507781141 +61 34 48.660668963|     ~| 6.386| 5.833|     ~|     ~|F6V                  |  72 |   0
217 |* del Cas                          |Al*|01 25 48.9514709 +60 14 07.022507      | 2.930| 2.810| 2.680| 2.53 | 2.44 |A5IV                 | 246 |   0
218 |* 44 Cas                           |*  |01 43 19.7565378853 +60 33 04.798448424|     ~| 5.76 | 5.76 |     ~|     ~|B8IIIn               |  36 |   0
219 |HD 12953                           |sg*|02 08 40.5789522644 +58 25 24.969707759| 6.28 | 6.29 | 5.68 | 5.09 | 4.59 |A1Ia                 | 183 |   0
220 |* 8 Per                            |PM*|02 17 59.8874966716 +57 53 59.352929821|     ~| 6.951| 5.748|     ~|     ~|K3III                |  32 |   0
221 |* 11 Per                           |*  |02 43 02.8382622822 +55 06 21.670038630| 5.13 | 5.639| 5.753|     ~|     ~|B8IV                 |  67 |   0
222 |* eta Per                          |*  |02 50 41.8095904 +55 53 43.787576      | 7.38 | 5.48 | 3.79 | 2.56 | 1.67 |K3-Ib-IIa            | 201 |   0
223 |* gam Per                          |Al*|03 04 47.7907410 +53 30 23.168725      | 4.08 | 3.63 | 2.93 | 2.34 | 1.89 |G9III+A2-III:        | 195 |   0
224 |HD 20123                           |*  |03 16 12.2033348937 +50 56 15.586367207| 7.01 | 6.18 | 5.03 |     ~|     ~|G5Ib-IIa             |  86 |   0
225 |* alf Per                          |V* |03 24 19.3700924 +49 51 40.245455      | 2.64 | 2.27 | 1.79 |     ~|     ~|F5Ib                 | 802 |   1
226 |HD 21362                           |*  |03 28 52.3241656747 +49 50 54.201305998|     ~| 5.513| 5.572|     ~|     ~|B6Vn                 | 112 |   0
227 |* 34 Per                           |*  |03 29 22.05019 +49 30 32.2114          | 4.01 | 4.610| 4.735|     ~|     ~|B3V                  | 155 |   0
228 |HD 21278                           |SB*|03 28 03.0722871396 +49 03 46.331543444|     ~| 4.89 | 4.97 |     ~|     ~|B5V                  | 194 |   0
229 |* psi Per                          |Be*|03 36 29.3798227 +48 11 33.478941      | 3.60 | 4.17 | 4.23 |     ~|     ~|B5Ve                 | 396 |   0
230 |* del Per                          |Be*|03 42 55.5042561 +47 47 15.174633      | 2.38 | 2.89 | 3.01 | 2.99 | 3.10 |B5III                | 303 |   0
231 |* 14 Cyg                           |*  |19 39 26.4883502571 +42 49 05.781730557| 5.10 | 5.32 | 5.40 |     ~|     ~|B9III                |  84 |   0
232 |HD 188209                          |s*b|19 51 59.0685711923 +47 01 38.420250587| 4.61 | 5.55 | 5.63 | 5.54 | 5.64 |O9.5Iab              | 289 |   0
233 |* del Cyg                          |PM*|19 44 58.4785413 +45 07 50.916066      | 2.75 | 2.85 | 2.87 | 2.88 | 2.90 |A0IV                 | 278 |   0
234 |HD 186155                          |PM*|19 40 50.1841239 +45 31 29.787129      |     ~| 5.468| 5.056|     ~|     ~|F5II-III             |  69 |   0
235 |HD 188252                          |V* |19 52 07.1667088940 +47 55 54.456007207| 4.87 | 5.722| 5.897|     ~|     ~|B2III                |  71 |   0
236 |* e Cyg                            |*  |20 01 21.5648482742 +50 06 16.891189660|     ~| 6.170| 5.048|     ~|     ~|G8III                |  62 |   0
237 |V* V414 Cep                        |LP*|20 44 22.0520696159 +56 29 18.244573824|     ~| 7.60 | 5.95 |     ~|     ~|M3III                |  32 |   0
238 |HD 200205                          |*  |20 59 25.3838028648 +59 26 18.957776755|     ~| 6.942| 5.526|     ~|     ~|K4III                |  34 |   0
239 |HD 200614                          |** |21 02 09.00594 +56 40 10.6097          |     ~| 5.76 | 5.83 |     ~|     ~|B8IVs+B9V            |  55 |   1
240 |HD 202214                          |** |21 11 48.23752 +59 59 11.8024          | 4.97 | 5.75 | 5.72 |     ~|     ~|O9.5IV               | 135 |   0
241 |HD 203338                          |LP?|21 19 15.6844340919 +58 37 24.634540958| 7.09 | 7.09 | 5.75 | 4.26 | 2.93 |M1Ibep               | 108 |   0
242 |* nu. Cep                          |sg*|21 45 26.9247788 +61 07 14.899897      | 4.94 | 4.81 | 4.29 | 3.79 | 3.35 |A2Iae                | 237 |   1
243 |HD 205139                          |*  |21 30 59.2912643879 +60 27 33.954777178| 4.92 | 5.604| 5.522|     ~|     ~|B1Ib                 |  91 |   0
244 |* 12 Cep                           |*  |21 47 25.2941240707 +60 41 33.679124769|     ~| 7.056| 5.514|     ~|     ~|M1III                |  29 |   0
245 |* 9 Cep                            |Pu*|21 37 55.2235288899 +62 04 54.993364177| 4.49 | 5.03 | 4.73 | 4.42 | 4.24 |B2Ib                 | 286 |   0
246 |HD 209112                          |V* |21 58 53.5215223597 +62 41 52.761870409|     ~| 7.592| 5.979|     ~|     ~|M3III                |  20 |   0
247 |HD 207198                          |*  |21 44 53.2790298387 +62 27 38.042162728| 5.61 | 6.25 | 5.94 | 5.66 | 5.49 |O8.5II               | 321 |   0
248 |* 19 Cep                           |*  |22 05 08.7884887056 +62 16 47.323982519| 4.36 | 5.19 | 5.11 | 4.95 | 4.92 |O9Ib                 | 362 |   0
249 |V* VV Cep                          |Al*|21 56 39.1438495 +63 37 32.017439      | 7.03 | 6.65 | 4.90 | 3.19 | 1.85 |M2epIa-Iab+B8:eV     | 427 |   1
250 |HD 211029                          |V* |22 12 22.4499569637 +63 17 27.718496193|     ~| 7.382| 5.778|     ~|     ~|M3III                |  22 |   0
251 |* 25 Cep                           |*  |22 18 12.6481504568 +62 48 15.800656915|     ~| 7.010| 5.741|     ~|     ~|K3III                |  20 |   0
252 |* 18 Cep                           |LP?|22 03 52.9776153163 +63 07 11.710413735|     ~| 6.767| 5.300|     ~|     ~|M5III                |  50 |   0
253 |* 20 Cep                           |PM*|22 05 00.4984232480 +62 47 08.408691511|     ~| 6.699| 5.265|     ~|     ~|K4III                |  80 |   0
254 |* ksi Cep                          |** |22 03 47.45499 +64 37 40.7128          | 4.72 | 4.63 | 4.29 | 3.97 | 3.84 |Am+F7/8V             | 167 |   0
255 |* 26 Cep                           |*  |22 27 05.3100386416 +65 07 56.158587297| 5.24 | 5.806| 5.515|     ~|     ~|B0.5Ib               | 140 |   0
256 |* 30 Cep                           |*  |22 38 39.0512105611 +63 35 04.097067197|     ~| 5.254| 5.188|     ~|     ~|A0IV                 |  55 |   0
257 |* iot Cep                          |PM*|22 49 40.8169435 +66 12 01.463616      | 5.50 | 4.60 | 3.54 | 2.69 | 2.19 |K0-III               | 233 |   0
258 |HD 223128                          |*  |23 46 36.7361851127 +66 46 56.076956626| 5.15 | 5.883| 5.937|     ~|     ~|B2IV                 |  62 |   0
259 |HD 225216                          |PM*|00 04 41.9803036909 +67 09 59.201014044|     ~| 6.741| 5.676|     ~|     ~|K1III                |  41 |   0
260 |HD 225009                          |*  |00 02 36.0919674124 +66 05 56.267096926|     ~| 6.912| 5.842|     ~|     ~|G8III                |  38 |   0
261 |HD 3856                            |*  |00 42 03.4199942695 +66 08 51.335147966|     ~| 6.866| 5.821|     ~|     ~|G9III-IV             |  37 |   0
262 |HD 4775                            |SB*|00 50 43.6042555662 +64 14 51.282336412|     ~| 5.868| 5.362|     ~|     ~|G5III+A0V            |  84 |   1
263 |HD 5550                            |SB*|00 58 31.0618050802 +66 21 06.453192752| 5.82 | 5.95 | 5.97 |     ~|     ~|A0III                |  48 |   0
264 |* 32 Cas                           |V* |01 11 41.4019366088 +65 01 07.862621424|     ~| 5.487| 5.564|     ~|     ~|B9IV                 |  43 |   0
265 |HD 6960                            |V* |01 11 25.5709872841 +64 12 09.641407229|     ~| 5.488| 5.548|     ~|     ~|B9.5V                |  47 |   0
266 |HD 10780                           |BY*|01 47 44.8336250528 +63 51 09.007331430| 6.84 | 6.44 | 5.63 | 4.99 | 4.60 |K0V                  | 317 |   0
267 |* eps Cas                          |Be*|01 54 23.7261769782 +63 40 12.372216932| 2.61 | 3.22 | 3.37 | 3.40 | 3.52 |B3Vp_sh              | 178 |   0
268 |HD 20041                           |*iN|03 15 47.9704259501 +57 08 26.243209896| 6.61 | 6.52 | 5.79 |     ~|     ~|A0Ia                 | 126 |   1
269 |* k Per                            |PM*|03 05 32.4124981452 +56 42 20.584372303| 8.401| 5.794| 4.766|     ~|     ~|G9+IIIb              |  86 |   0
270 |HD 21447                           |*  |03 30 00.1834708229 +55 27 06.513970075| 5.160| 5.140| 5.090| 5.01 | 5.02 |A1Va                 | 122 |   0
271 |HD 21819                           |*  |03 33 39.0595622426 +54 58 29.495525821| 8.061| 6.074| 5.969|     ~|     ~|A3V                  |  29 |   0
272 |HD 24240                           |*  |03 53 38.6963309266 +48 39 01.783596074|     ~| 6.81 | 5.76 |     ~|     ~|K0III                |  31 |   0
273 |HD 24504                           |*  |03 55 58.1754635361 +47 52 17.095013909|     ~| 5.297| 5.379|     ~|     ~|B6V                  |  70 |   0
274 |* c Per                            |Be*|04 08 39.6921578 +47 42 45.042937      | 3.45 | 4.00 | 4.03 | 3.91 | 3.93 |B3Ve                 | 366 |   0
275 |HD 185351                          |PM*|19 36 37.9763032863 +44 41 41.760069923|     ~| 6.109| 5.169|     ~|     ~|G8.5IIIbFe-0.5       | 126 |   0
276 |HD 182694                          |*  |19 23 56.5007393738 +43 23 17.402931539|     ~| 6.779| 5.853|     ~|     ~|G7IIIa               |  49 |   0
277 |* psi Cyg                          |SB*|19 55 37.7879400302 +52 26 20.139603026|     ~| 5.12 | 5.02 |     ~|     ~|A4Vn                 |  67 |   0
278 |* 33 Cyg                           |PM*|20 13 23.8666139 +56 34 03.799925      |     ~| 4.384| 4.271|     ~|     ~|A3IV-Vn              |  80 |   0
279 |HD 195554                          |** |20 29 27.1137626903 +56 04 05.459718358|     ~| 5.846| 5.912|     ~|     ~|B8.5V                |  87 |   2
280 |HD 193592A                         |*  |20 18 24.755 +55 23 49.40              |     ~| 6.05 | 6.00 |     ~|     ~|A2IV                 |   4 |   1
281 |HD 193592                          |** |20 18 24.75071 +55 23 49.5490          |     ~| 5.87 | 5.76 |     ~|     ~|A2IV+F3V             |  51 |   0
282 |* alf Cep                          |PM*|21 18 34.77233 +62 35 08.0681          | 2.770| 2.680| 2.460| 2.22 | 2.11 |A8Vn                 | 341 |   0
283 |* 6 Cep                            |Be*|21 19 22.2202464 +64 52 18.682115      | 4.56 | 5.14 | 5.18 |     ~|     ~|B3IVe                | 154 |   0
284 |HD 208682                          |Be*|21 55 30.99976 +65 19 14.9142          | 5.05 | 5.80 | 5.86 |     ~|     ~|B2Ve                 | 121 |   1
285 |HD 218029                          |*  |23 03 32.8827565302 +67 12 33.153155151|     ~| 6.481| 5.230|     ~|     ~|K3III                |  61 |   0
286 |HD 223274                          |*  |23 47 54.7685862781 +67 48 24.496589516|     ~| 5.041| 5.044|     ~|     ~|A1Vn                 |  54 |   0
287 |* 31 Cas                           |*  |01 10 39.3207392488 +68 46 43.038602567|     ~| 5.280| 5.309|     ~|     ~|A0Vnn                |  46 |   0
288 |* psi Cas                          |PM*|01 25 56.0223813 +68 07 48.045998      |     ~| 5.780| 4.727|     ~|     ~|K0III-IIIbCN0.5      |  91 |   0
289 |* 43 Cas                           |a2*|01 42 20.5260877220 +68 02 34.890569843| 5.29 | 5.52 | 5.59 |     ~|     ~|A0VpSiSrEuHgMn       | 107 |   0
290 |HD 11946                           |*  |01 59 38.0372761533 +64 37 17.756072145|     ~| 5.273| 5.278|     ~|     ~|A0Vn                 |  60 |   0
291 |* 53 Cas                           |*  |02 03 00.1867607539 +64 23 24.064160879| 5.69 | 5.930| 5.614|     ~|     ~|A0Ib                 | 103 |   0
292 |* 52 Cas                           |*  |02 02 52.4756031539 +64 54 05.268917880|     ~| 6.012| 5.986|     ~|     ~|A1Vn                 |  41 |   0
293 |HD 17948                           |PM*|02 55 56.9207493120 +61 31 16.097176885|     ~| 6.001| 5.584|     ~|     ~|F5V                  |  84 |   0
294 |C 0255+602                         |Cl*|02 59 18.0 +60 24 00                   |     ~|     ~| 5.9  |     ~|     ~|~                    |  15 |   0
